Data,Produto,Categoria,Quantidade,Preço Unitário,Cliente,Região
2023-06-10,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-11,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-12,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-13,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-14,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-06-15,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-16,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-17,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-18,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-19,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-06-20,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-21,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-22,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-23,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-24,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-06-25,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-26,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-27,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-28,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-29,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-06-30,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-01,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-02,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-03,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-04,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-05,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-06,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-07,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-08,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-09,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-10,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-11,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-12,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-13,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-14,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-15,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-16,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-17,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-18,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-19,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-20,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-21,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-22,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-23,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-24,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-25,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-26,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-07-27,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-07-28,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-07-29,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-07-30,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-07-31,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-01,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-02,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-03,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-04,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-05,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-06,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-07,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-08,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-09,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-10,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-11,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-12,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-13,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-14,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-15,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-16,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-17,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-18,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-19,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-20,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-21,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-22,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-23,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-24,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-25,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-26,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-08-27,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-08-28,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-08-29,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-08-30,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-08-31,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-01,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-02,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-03,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-04,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-05,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-06,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-07,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-08,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-09,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-10,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-11,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-12,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-13,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-14,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-15,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-16,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-17,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-18,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-19,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-20,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-21,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-22,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-23,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-24,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-25,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-09-26,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-09-27,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-09-28,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-09-29,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-09-30,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-01,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-02,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-03,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-04,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-05,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-06,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-07,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-08,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-09,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-10,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-11,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-12,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-13,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-14,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-15,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-16,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-17,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-18,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-19,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-20,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-21,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-22,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-23,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-24,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-25,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-26,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-10-27,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-10-28,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-10-29,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-10-30,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-10-31,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-01,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-02,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-03,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-04,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-05,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-06,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-07,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-08,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-09,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-10,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-11,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-12,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-13,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-14,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-15,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-16,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-17,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-18,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-19,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-20,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-21,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-22,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-23,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-24,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-25,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-11-26,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-11-27,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-11-28,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-11-29,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-11-30,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-01,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-02,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-03,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-04,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-05,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-06,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-07,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-08,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-09,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-10,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-11,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-12,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-13,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-14,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-15,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-16,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-17,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-18,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-19,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-20,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-21,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-22,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-23,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-24,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-25,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-26,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-12-27,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-12-28,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-12-29,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-12-30,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-12-31,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-01,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-02,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-03,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-04,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-05,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-06,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-07,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-08,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-09,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-10,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-11,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-12,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-13,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-14,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-15,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-16,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-17,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
